predictor,auroc,n,degraded_rate
command_geometry,0.6419643394370059,6336,0.5929608585858586
map_uncertainty,0.6139537075061023,6336,0.5929608585858586
early_exposure,0.6426163987234169,6336,0.5929608585858586
combined_no_attrition,0.7156927593243807,6336,0.5929608585858586
early_attrition_only,0.8537396859196167,6336,0.5929608585858586
combined_with_attrition,0.8326326465381463,6336,0.5929608585858586
