environment,seed,team,relay_count,map_mode,command_mode,stress,n_agents,n_payload,max_steps,success_time,alive_final,reached_final,payload_reached,attrition_rate,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_effective_map_delay,early_map_mse,mean_consensus,safe_exposure_cut,safe_exposure_scale,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,strict_success,operational_score,safe_delivery_success,degraded_outcome
grid_world,4156588632,no_relay_hetero,0,delayed,autonomous,degraded,12,2,120,35,11,11,2,0.08333333333333333,0.19068542639673203,0.1322085623017342,10,6.0,0.0012948756341896,0.0,0.17,0.25,0.9166666666666666,0.9166666666666666,1.0,0.7083333333333333,0.2372582944130719,0.5,1,76.15494945511634,0,1
grid_world,1214921433,no_relay_hetero,0,delayed,autonomous,degraded,12,2,120,35,12,12,2,0.0,0.16509787733395176,0.11887047168044527,8,6.0,0.0005862914637775298,0.0,0.17,0.25,1.0,1.0,1.0,0.7083333333333333,0.33960849066419296,0.6,1,82.08785220263204,1,0
grid_world,4086064280,no_relay_hetero,0,delayed,autonomous,degraded,12,2,120,34,12,12,2,0.0,0.17371495184354985,0.1216004662904849,8,6.0,0.002037315000287494,0.0,0.17,0.25,1.0,1.0,1.0,0.7166666666666667,0.3051401926258006,0.6,1,81.73862936342789,0,1
grid_world,3201785837,no_relay_hetero,0,delayed,autonomous,degraded,12,2,120,34,12,12,2,0.0,0.22379956973574044,0.1566596988150183,11,6.0,0.0010930773567081598,0.0,0.17,0.25,1.0,1.0,1.0,0.7166666666666667,0.10480172105703822,0.44999999999999996,1,77.43389076146521,0,1
grid_world,1057864590,no_relay_hetero,0,delayed,autonomous,degraded,12,2,120,34,12,12,2,0.0,0.2061168459161468,0.14428179214130274,11,6.0,0.0017870024400291186,0.0,0.17,0.25,1.0,1.0,1.0,0.7166666666666667,0.17553261633541284,0.44999999999999996,1,78.42412329536245,0,1
grid_world,1138113322,no_relay_hetero,0,delayed,autonomous,degraded,12,2,120,33,12,9,1,0.0,0.2203884437593589,0.14986414175636406,11,6.0,0.002365954819027544,0.0,0.17,0.25,0.75,1.0,0.5,0.725,0.1184462249625644,0.44999999999999996,1,62.758247149475906,0,1
grid_world,100951797,no_relay_hetero,0,delayed,autonomous,degraded,12,2,120,35,11,11,2,0.08333333333333333,0.212933190202406,0.14763367854033482,12,6.0,0.00255648758929918,0.0,0.17,0.25,0.9166666666666666,0.9166666666666666,1.0,0.7083333333333333,0.148267239190376,0.4,1,73.90907468199859,0,1
grid_world,217030985,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,33,12,9,1,0.0,0.1738319025802803,0.11820569375459061,8,12.0,0.004588174286107066,0.0,0.17,0.25,0.75,1.0,0.5,0.725,0.3046723896788788,0.6,1,66.86541345550432,0,1
grid_world,2081379844,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,35,11,11,2,0.08333333333333333,0.2340964180882747,0.16191668917772334,13,12.0,0.00848330551093399,0.0,0.17,0.25,0.9166666666666666,0.9166666666666666,1.0,0.7083333333333333,0.06361432764690123,0.35,1,72.22393392038995,0,1
grid_world,1599368329,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,35,12,12,2,0.0,0.20465386310639838,0.14735078143660685,10,12.0,0.002357864551113373,0.0,0.17,0.25,1.0,1.0,1.0,0.7083333333333333,0.18138454757440647,0.5,1,78.87271699937503,0,1
grid_world,264209228,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,34,12,11,2,0.0,0.23450242582495742,0.1641516980774702,13,12.0,0.00498676201474733,0.0,0.17,0.25,0.9166666666666666,1.0,1.0,0.7166666666666667,0.06199029670017031,0.35,1,73.83453082046906,0,1
grid_world,2695677296,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,34,11,11,2,0.08333333333333333,0.2328590178026859,0.15717983701681298,13,12.0,0.009509827951520321,0.0,0.17,0.25,0.9166666666666666,0.9166666666666666,1.0,0.7166666666666667,0.06856392878925643,0.35,1,72.42656166971626,0,1
grid_world,1037342150,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,35,12,12,2,0.0,0.1545558158813213,0.11128018743455134,7,12.0,0.007024348158194944,0.0,0.17,0.25,1.0,1.0,1.0,0.7083333333333333,0.3817767364747148,0.65,1,83.17820764397933,1,0
grid_world,1566339848,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,34,11,11,1,0.08333333333333333,0.1672876104846978,0.11096744828818288,7,12.0,0.00826693953772875,0.0,0.17,0.25,0.9166666666666666,0.9166666666666666,0.5,0.7166666666666667,0.33084955806120875,0.65,1,70.09856047952358,0,1
grid_world,1530222053,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,34,12,9,1,0.0,0.16893304222180247,0.11825312955526172,8,12.0,0.0057657834779468965,0.0,0.17,0.25,0.75,1.0,0.5,0.7166666666666667,0.3242678311127901,0.6,1,67.00641630224573,1,0
grid_world,700898419,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,34,12,9,1,0.0,0.23727152687688668,0.16609006881382068,13,12.0,0.0069933723235327296,0.0,0.17,0.25,0.75,1.0,0.5,0.7166666666666667,0.05091389249245326,0.35,1,60.67946116156101,0,1
grid_world,1804473434,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,33,12,9,1,0.0,0.16895266807651374,0.11488781429202935,8,12.0,0.0064322194368964915,0.0,0.17,0.25,0.75,1.0,0.5,0.725,0.32418932769394504,0.6,1,67.13865058771525,1,0
grid_world,1236134229,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,35,12,12,2,0.0,0.1610699923699178,0.11597039450634083,8,12.0,0.00768100120719626,0.0,0.17,0.25,1.0,1.0,1.0,0.7083333333333333,0.35572003052032874,0.6,1,82.31341376061793,1,0
grid_world,576149369,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,35,11,11,2,0.08333333333333333,0.1868304528560888,0.12922439655879475,10,12.0,0.0025268874999196576,0.0,0.17,0.25,0.9166666666666666,0.9166666666666666,1.0,0.7083333333333333,0.25267818857564484,0.5,1,76.37082797339235,0,1
grid_world,1920724523,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,34,12,9,2,0.0,0.1788460948028836,0.12519226636201852,9,12.0,0.0012385168047521627,0.0,0.17,0.25,0.75,1.0,1.0,0.7166666666666667,0.2846156207884656,0.55,1,74.9512853577052,0,1
grid_world,1322259323,no_relay_hetero,0,delayed,autonomous,severe,12,2,120,35,11,11,2,0.08333333333333333,0.17657748665919135,0.12213276160594068,9,12.0,0.002868336128034129,0.0,0.17,0.25,0.9166666666666666,0.9166666666666666,1.0,0.7083333333333333,0.2936900533632346,0.55,1,77.44499408041861,0,1
