display_team,stress,map_mode,command_mode,n,safe_delivery,operational_score,degraded_outcome,attrition_rate,exposure,effective_delay,payload_fraction
balanced_hetero,degraded,delayed,autonomous,32,0.5,73.18774502044892,0.59375,0.0234375,0.129169760789771,8.107296798029557,0.59375
no_relay_hetero,degraded,delayed,autonomous,32,0.59375,74.12211163009499,0.4375,0.031249999999999997,0.12014509105088822,12.0,0.59375
relay_rich,degraded,delayed,autonomous,32,0.5625,72.26975050924824,0.46875,0.031249999999999997,0.12861225390228959,4.222671121110784,0.546875
relay_rich_scout_matched,degraded,delayed,autonomous,32,0.28125,71.50606282781999,0.78125,0.05989583333333333,0.12995681032473344,4.235237916008674,0.5625
relay_rich_scout_matched_standardized,degraded,delayed,autonomous,32,0.46875,73.79095290726202,0.59375,0.0390625,0.12179693050493005,4.179467489747095,0.625
relay_rich_standardized,degraded,delayed,autonomous,32,0.34375,70.03997675036591,0.71875,0.05208333333333333,0.12477506773234526,4.282195251058681,0.546875
balanced_hetero,degraded,delayed,crowd_vector,32,0.5625,77.38444406102192,0.4375,0.04427083333333333,0.11456587904108398,8.285256064010602,0.625
no_relay_hetero,degraded,delayed,crowd_vector,32,0.59375,77.03677684722456,0.4375,0.033854166666666664,0.11282138367059821,12.0,0.609375
relay_rich,degraded,delayed,crowd_vector,32,0.6875,75.61527637480917,0.3125,0.026041666666666664,0.12002333553871294,4.086101557340964,0.53125
relay_rich_scout_matched,degraded,delayed,crowd_vector,32,0.59375,76.73519050259225,0.40625,0.05208333333333333,0.1122188317846614,4.229151812721459,0.59375
relay_rich_scout_matched_standardized,degraded,delayed,crowd_vector,32,0.5625,77.74924039583141,0.4375,0.04427083333333333,0.10929715489090316,4.357119450926166,0.625
relay_rich_standardized,degraded,delayed,crowd_vector,32,0.53125,76.33026360133168,0.5625,0.049479166666666664,0.11531361562986712,4.303476645669817,0.6875
balanced_hetero,degraded,scout_belief,autonomous,32,0.53125,75.12643983295798,0.53125,0.04427083333333333,0.12413660024399342,8.09413999897664,0.609375
no_relay_hetero,degraded,scout_belief,autonomous,32,0.40625,71.68814968045714,0.59375,0.04427083333333333,0.12121895740234011,12.0,0.546875
relay_rich,degraded,scout_belief,autonomous,32,0.59375,75.40018351038552,0.40625,0.026041666666666664,0.1256677511860054,4.132987371445856,0.609375
relay_rich_scout_matched,degraded,scout_belief,autonomous,32,0.53125,75.14474382404195,0.46875,0.03125,0.12574231927299154,4.120496553884712,0.59375
relay_rich_scout_matched_standardized,degraded,scout_belief,autonomous,32,0.5,73.38965115344504,0.53125,0.046875,0.11875637473157787,4.174645260781263,0.578125
relay_rich_standardized,degraded,scout_belief,autonomous,32,0.40625,73.25777211733788,0.625,0.046875,0.11890812466405555,4.267557837135128,0.625
