stress,team,map_mode,command_mode,n,safe_delivery,operational_score,degraded,exposure,attrition,map_mse,false_safe,effective_delay,consensus
degraded,balanced_hetero,delayed,autonomous,12,0.16666666666666666,69.88854410201232,0.9166666666666666,0.13597764030171117,0.06944444444444442,0.0008503703031532999,0.0,8.201362281822052,0.0
degraded,balanced_hetero,delayed,consensus_gated,12,0.5833333333333334,75.58585457177459,0.5,0.11058604191444162,0.03472222222222221,0.0007352834457043249,0.0,8.285714285714286,0.6409783238428126
degraded,balanced_hetero,delayed,crowd_vector,12,0.5,78.99022228887056,0.5,0.1189711100637799,0.055555555555555546,0.0009441104820450084,0.0,8.157070707070707,0.6386869025140349
degraded,balanced_hetero,delayed,stale_hold,12,0.3333333333333333,77.08183413312901,0.6666666666666666,0.1152325535693482,0.06249999999999997,0.0008680258501991,0.0,8.310515723885354,0.6439554685118306
degraded,balanced_hetero,no_shared,autonomous,12,0.3333333333333333,77.31540478379196,0.75,0.11148940630760763,0.06249999999999997,0.031074396410684615,0.07165404040404035,8.0,0.0
degraded,balanced_hetero,no_shared,consensus_gated,12,0.6666666666666666,78.20237945641682,0.4166666666666667,0.10536472494413766,0.04166666666666665,0.030118244116635707,0.06941096571778387,8.078947368421053,0.627072069937735
degraded,balanced_hetero,no_shared,crowd_vector,12,0.5,76.70978353957177,0.5833333333333334,0.11895472427233768,0.04166666666666665,0.03241451266705297,0.07031489133761855,8.0,0.632259942704059
degraded,balanced_hetero,no_shared,stale_hold,12,0.5,76.53941640921063,0.5833333333333334,0.11543350933674294,0.04166666666666665,0.032100502323612674,0.06966444750535657,8.0,0.6258813971086368
degraded,balanced_hetero,perfect,autonomous,12,0.3333333333333333,71.8275036810217,0.75,0.12084425432468547,0.06249999999999998,0.0,0.0,8.0,0.0
degraded,balanced_hetero,perfect,consensus_gated,12,0.5833333333333334,78.09962699063837,0.4166666666666667,0.1177902531100743,0.04166666666666665,0.0,0.0,8.137212643678161,0.6474155264451797
degraded,balanced_hetero,perfect,crowd_vector,12,0.75,78.73130455866642,0.3333333333333333,0.1127236796865647,0.020833333333333325,0.0,0.0,8.095238095238095,0.6432859084476072
degraded,balanced_hetero,perfect,stale_hold,12,0.75,78.56576052077477,0.25,0.1012258796470842,0.027777777777777766,0.0,0.0,8.261835184102864,0.6389685473343075
degraded,balanced_hetero,scout_belief,autonomous,12,0.5,74.35099909061711,0.5,0.12181366508395332,0.055555555555555546,0.002861799757162125,0.0,8.066091954022989,0.0
degraded,balanced_hetero,scout_belief,consensus_gated,12,0.5,75.83288310878007,0.6666666666666666,0.11128749823768881,0.05555555555555553,0.003338845668414433,0.0,8.18007662835249,0.6423977798402246
degraded,balanced_hetero,scout_belief,crowd_vector,12,0.8333333333333334,76.65447827833566,0.25,0.11451296038805857,0.020833333333333325,0.0036878343347467833,0.0,8.122023809523808,0.6384808681302857
degraded,balanced_hetero,scout_belief,stale_hold,12,0.6666666666666666,75.29021395222667,0.6666666666666666,0.11934954794649083,0.04166666666666665,0.0038053442409652417,0.0,8.078947368421053,0.6538428661197867
degraded,homogeneous,delayed,autonomous,12,0.6666666666666666,75.64426852662079,0.9166666666666666,0.1395107009308795,0.0,0.001678687110208325,0.0,12.0,0.0
degraded,homogeneous,delayed,consensus_gated,12,0.3333333333333333,74.47895835798688,1.0,0.14592060146443894,0.013888888888888883,0.0022864284169132666,0.0,12.0,0.6485400654020246
degraded,homogeneous,delayed,crowd_vector,12,0.5,76.78226679702418,0.9166666666666666,0.1406159662054932,0.0,0.002261074063534575,0.0,12.0,0.6446603891382389
degraded,homogeneous,delayed,stale_hold,12,0.5833333333333334,79.35127502396212,1.0,0.13733446126366408,0.0,0.002067667560033025,0.0,12.0,0.6432416639066861
degraded,homogeneous,no_shared,autonomous,12,0.6666666666666666,75.67987610006823,0.8333333333333334,0.12955168244866336,0.013888888888888883,0.034226486483194186,0.08873456790123456,12.0,0.0
degraded,homogeneous,no_shared,consensus_gated,12,0.75,77.02583092685512,0.8333333333333334,0.1327872071282556,0.0069444444444444415,0.036561439602726134,0.08125701459034788,12.0,0.6334004294149221
degraded,homogeneous,no_shared,crowd_vector,12,0.5,76.12789895779395,1.0,0.14554439203889932,0.027777777777777766,0.0373456155600758,0.08486952861952857,12.0,0.6262936695560809
degraded,homogeneous,no_shared,stale_hold,12,0.5,75.9103011101921,0.9166666666666666,0.13460267567581716,0.03472222222222221,0.034727637559364234,0.07749017957351285,12.0,0.6318643357894566
degraded,homogeneous,perfect,autonomous,12,0.75,78.22604068719012,1.0,0.12513047174098077,0.013888888888888883,0.0,0.0,12.0,0.0
degraded,homogeneous,perfect,consensus_gated,12,0.5,74.9937427942453,1.0,0.14503351270418743,0.0069444444444444415,0.0,0.0,12.0,0.638842349904638
degraded,homogeneous,perfect,crowd_vector,12,0.4166666666666667,74.44931211683969,1.0,0.14704123287294243,0.013888888888888883,0.0,0.0,12.0,0.6357111042587454
degraded,homogeneous,perfect,stale_hold,12,0.5833333333333334,78.32645761243857,0.9166666666666666,0.13587656556115046,0.0,0.0,0.0,12.0,0.642278145140721
degraded,homogeneous,scout_belief,autonomous,12,0.8333333333333334,78.94236032602375,0.8333333333333334,0.12285153350110829,0.0069444444444444415,0.016728757755511307,0.06696127946127942,12.0,0.0
degraded,homogeneous,scout_belief,consensus_gated,12,0.4166666666666667,76.55273465243945,0.9166666666666666,0.13421231789552807,0.020833333333333325,0.017854646035605708,0.061826599326599285,12.0,0.6351469607508254
degraded,homogeneous,scout_belief,crowd_vector,12,0.75,77.03567092939767,0.9166666666666666,0.13817622931052348,0.0,0.017395951306301283,0.06774691358024687,12.0,0.6441179101807122
degraded,homogeneous,scout_belief,stale_hold,12,0.8333333333333334,77.8726817747998,1.0,0.11936314882986553,0.013888888888888883,0.016459009506977516,0.05872615039281703,12.0,0.6437779567006621
degraded,no_relay_hetero,delayed,autonomous,12,0.16666666666666666,71.59749534516256,1.0,0.1300750731474454,0.06944444444444442,0.002116759070027442,0.0,12.0,0.0
degraded,no_relay_hetero,delayed,consensus_gated,12,0.5833333333333334,77.35887395215862,0.4166666666666667,0.10906028763010002,0.03472222222222221,0.0015151396624596832,0.0,12.0,0.6399127608292763
degraded,no_relay_hetero,delayed,crowd_vector,12,0.5833333333333334,74.68671046692232,0.5833333333333334,0.11311888842984474,0.03472222222222221,0.0016817596157167834,0.0,12.0,0.6463501774484245
degraded,no_relay_hetero,delayed,stale_hold,12,0.5,76.44162040837594,0.75,0.11161580628107638,0.048611111111111084,0.001744715102295225,0.0,12.0,0.6520805598694286
degraded,no_relay_hetero,no_shared,autonomous,12,0.75,79.63548573377751,0.3333333333333333,0.10471353106180291,0.027777777777777766,0.02962632080072009,0.0639941077441077,12.0,0.0
degraded,no_relay_hetero,no_shared,consensus_gated,12,0.4166666666666667,74.99051481807574,0.5833333333333334,0.10699164545140218,0.05555555555555553,0.03040649058018685,0.068261210590756,12.0,0.6176409368966301
degraded,no_relay_hetero,no_shared,crowd_vector,12,0.75,78.69980622274262,0.5,0.10459034665848888,0.020833333333333325,0.02961364808352092,0.06197390572390568,12.0,0.6308550749229996
