seed,team,map_mode,command_mode,stress,stress_family,mission_profile,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,max_fragmentation,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
167389794,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,44,1,45,12,11,0.0,0,0.0,0.0,71.44255554738614,0.12942491946990242,0.07938061727487349,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.9166666666666666,0.75,0.4117049115004435,0.55,79.76386876100621,1,1
167390803,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,44,44,1,44,12,12,0.0,0,0.0,0.0,59.781926217805236,0.1107072707737134,0.06642436246422805,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,1.0,1.0,1.0,0.7555555555555555,0.4967851328467573,0.6,85.04388074874349,1,1
167391812,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,44,1,45,12,10,0.0,0,0.0,0.0,77.68501613294947,0.14073372487853164,0.08631668459216608,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,1.0,0.8333333333333334,0.75,0.3603012505521289,0.5,75.04421750772981,1,1
167392821,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,44,44,1,44,12,9,0.0,0,0.0,0.0,61.291441338309674,0.11350266914501791,0.06810160148701075,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.75,1.0,0.75,0.7555555555555555,0.4840787766135549,0.6,74.36599176147867,1,1
167393830,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,45,1,45,12,10,0.0,0,0.0,0.0,74.35668446966666,0.13470413853200483,0.08261853829962962,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,1.0,0.8333333333333334,0.75,0.38770846121815983,0.55,75.92791845705425,1,1
167394839,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,44,44,1,44,12,9,0.0,0,0.0,0.0,60.396812264855235,0.11184594863862081,0.06710756918317248,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.75,1.0,0.75,0.7555555555555555,0.49160932436990545,0.6,74.47141943006757,1,1
167395848,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,44,44,1,44,12,10,0.0,0,0.0,0.0,64.23007892505247,0.11894459060194901,0.0713667543611694,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,1.0,0.8333333333333334,0.7555555555555555,0.4593427699911409,0.6,77.51968766876487,1,1
167396857,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,45,1,45,12,9,0.0,0,0.0,0.0,88.42432103759856,0.16018898738695392,0.09824924559733174,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.75,1.0,0.75,0.75,0.2718682391502094,0.5,70.30615534810293,0,1
167397866,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,44,1,45,12,10,0.0,0,0.0,0.0,76.1242070263545,0.13790617214919293,0.084582452251505,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.8333333333333334,1.0,0.8333333333333334,0.75,0.373153762958214,0.55,75.724152681415,1,1
167398875,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,44,1,45,12,12,0.0,0,0.0,0.0,70.5687603422788,0.1278419571418094,0.0784097337136431,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,1.0,1.0,1.0,0.75,0.4189001948099572,0.6,83.8646027273394,1,1
167399884,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,45,1,45,12,11,0.0,0,0.0,0.0,91.56994127677217,0.16588757477676117,0.10174437919641352,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,0.9166666666666666,1.0,0.9166666666666666,0.75,0.2459655691965401,0.4,75.94351796875156,0,1
167400893,homogeneous,perfect,autonomous,degraded,degraded,full_delivery,1,45,44,1,45,12,12,0.0,0,0.0,0.0,59.546646370718925,0.10787435936724443,0.06616294041190991,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,181,0,12.0,1.0,1.0,1.0,0.75,0.5096620028761616,0.6,85.13526804026625,1,1
2899172220,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,44,1,44,12,9,0.0,0,0.0,0.0,68.0735231512264,0.12606207990967852,0.0756372479458071,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.75,1.0,0.75,0.7555555555555555,0.42699054586509766,0.6,73.56675653100027,1,1
2899173229,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,44,1,44,12,10,0.0,0,0.0,0.0,63.47610333122725,0.11754833950227268,0.07052900370136361,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.8333333333333334,1.0,0.8333333333333334,0.7555555555555555,0.46568936589876053,0.6,77.60854001147155,1,1
2899174238,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,44,1,44,12,10,0.0,0,0.0,0.0,60.125893148829334,0.11134424657190617,0.06680654794314371,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.8333333333333334,1.0,0.8333333333333334,0.7555555555555555,0.49388978830951746,0.6,78.00334592522213,1,1
2899175247,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,45,44,1,45,12,11,0.0,0,0.0,0.0,75.55425660033553,0.1368736532614774,0.08394917400037281,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.9166666666666666,1.0,0.9166666666666666,0.75,0.3778470306296482,0.55,79.28985842881508,1,1
2899176256,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,44,1,44,12,10,0.0,0,0.0,0.0,64.45006534521096,0.11935197286150177,0.07161118371690106,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.8333333333333334,1.0,0.8333333333333334,0.7555555555555555,0.45749103244771927,0.6,77.49376334315696,1,1
2899177265,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,45,44,1,45,11,11,0.0,0,0.08333333333333333,0.08333333333333333,59.517105469197034,0.1120849443864351,0.0661301171879967,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.4905229800616586,0.6,79.86732172086322,0,1
2899178274,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,44,1,44,12,10,0.0,0,0.0,0.0,65.16566011192185,0.12067714835541084,0.0724062890132465,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.8333333333333334,1.0,0.8333333333333334,0.7555555555555555,0.4514675074754053,0.6,77.40943399354457,1,1
2899179283,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,44,1,44,12,9,0.0,0,0.0,0.0,64.89888272866519,0.12018311616419479,0.07210986969851688,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.75,1.0,0.75,0.7555555555555555,0.4537131083445691,0.6,73.94087240571285,1,1
2899180292,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,44,1,44,12,11,0.0,0,0.0,0.0,59.80090146929408,0.11074241012832238,0.06644544607699343,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.9166666666666666,1.0,0.9166666666666666,0.7555555555555555,0.4966254085076256,0.65,82.04164460799565,1,0
2899181301,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,45,44,1,45,12,9,0.0,0,0.0,0.0,85.87969023763515,0.1555791489812231,0.09542187804181683,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.75,1.0,0.75,0.75,0.29282205008534956,0.5,70.5995087011949,0,1
2899182310,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,46,45,1,46,11,11,0.0,0,0.08333333333333333,0.08333333333333333,85.70346850677588,0.15812448063980789,0.09522607611863987,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.7444444444444445,0.28125236072814597,0.44999999999999996,75.34864416130515,0,1
2899183319,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,45,44,1,45,12,11,0.0,0,0.0,0.0,65.62829453729165,0.11889183792987618,0.0729203272636574,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.9166666666666666,1.0,0.9166666666666666,0.75,0.4595825548641992,0.6,80.93415576809879,1,1
2899184328,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,45,45,1,45,12,9,0.0,0,0.0,0.0,59.76805487653022,0.10827546173284461,0.06640894986281136,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.75,1.0,0.75,0.75,0.5078388103052518,0.6,74.60974334427353,1,1
2899185337,homogeneous,perfect,autonomous,severe,severe,full_delivery,1,44,44,1,44,12,10,0.0,0,0.0,0.0,60.79213665267406,0.1125780308382853,0.06754681850297117,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181,0,12.0,0.8333333333333334,1.0,0.8333333333333334,0.7555555555555555,0.4882816780077941,0.6,77.92483238099801,1,1
