seed,team,map_mode,command_mode,stress,stress_family,mission_profile,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,max_fragmentation,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,matched_variant,display_team,max_steps,safe_exposure_cut,safe_exposure_scale,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
2551803,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,54,44,1,54,12,11,2,1,0.0,0.0,79.47953064516027,0.12042353128054586,0.08831058960573362,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009083250687446008,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.7,0.4526203123611552,1.0,76.53668437305615,1,0
3129722067,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,55,44,1,55,12,11,2,1,0.0,0.0,80.18535327769045,0.11932344237751555,0.08909483697521162,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001171374424220665,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6944444444444444,0.45762071646583846,0.55,72.01780114163284,1,0
729724589,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,55,45,1,55,12,11,2,1,0.0,0.0,83.6755455341322,0.12451718085436339,0.092972828371258,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009982509342263144,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6944444444444444,0.43401281429834826,0.55,71.68729051128798,1,0
75338282,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,54,45,1,54,11,10,2,1,0.08333333333333333,0.08333333333333333,92.44347781785575,0.14580990192090812,0.10271497535317306,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006446887854019936,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.8333333333333334,0.9166666666666666,0.5,0.7,0.3372277185413267,0.44999999999999996,65.92118805957857,0,1
585259051,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,56,44,1,56,12,12,2,2,0.0,0.0,79.30096125179476,0.11593707785350112,0.08811217916866085,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008411389718133538,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,1.0,1.0,1.0,0.6888888888888889,0.4730132824840858,1.0,87.64440817699942,1,0
1906317264,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,56,43,1,56,12,11,2,1,0.0,0.0,67.37957701223928,0.09850815352666561,0.07486619668026587,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001387211531863869,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6888888888888889,0.5522356657878835,0.65,74.2535215432526,1,0
2093623877,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,55,44,1,55,12,11,2,1,0.0,0.0,68.67230033530164,0.1021909231180084,0.07630255592811294,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000486465776155218,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6944444444444444,0.5354958040090527,1.0,77.60805236723785,1,0
3516897291,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,56,45,1,56,10,10,2,1,0.16666666666666666,0.16666666666666666,74.72382304766843,0.1163922477378013,0.08302647005296493,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011837151828867508,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.8333333333333334,0.8333333333333334,0.5,0.6888888888888889,0.4709443284645396,0.55,67.11544282072579,0,1
2715029867,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,57,44,1,57,12,11,2,1,0.0,0.0,76.29133042888246,0.1096139805012679,0.08476814492098052,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001635323389837611,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6833333333333333,0.501754634085146,0.55,72.45789821052537,1,0
214085880,no_relay_hetero,delayed,autonomous,degraded,degraded,full_delivery,1,56,44,1,56,12,11,2,1,0.0,0.0,73.18243561525512,0.1069918649345835,0.08131381735028347,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016310887246944311,0.0,0.0,12.0,181,0,no_relay_hetero,no_relay_hetero,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6888888888888889,0.5136733412064387,0.55,72.71364899911237,1,0
