stress,map_mode,command_mode,variant,fold,metric,delta,expected_direction,direction_matches
degraded,delayed,autonomous,relay_rich_scout_matched_standardized,3,safe_delivery_success,-0.25,-1,True
degraded,delayed,autonomous,relay_rich_scout_matched_standardized,3,degraded_outcome,0.375,1,True
degraded,delayed,autonomous,relay_rich_scout_matched_standardized,3,attrition_rate,0.041666666666666644,1,True
degraded,delayed,autonomous,relay_rich_scout_matched_standardized,3,mean_effective_map_delay,-7.551866883116883,-1,True
degraded,delayed,crowd_vector,relay_rich,0,safe_delivery_success,-0.25,-1,True
degraded,delayed,crowd_vector,relay_rich,0,degraded_outcome,0.25,1,True
degraded,delayed,crowd_vector,relay_rich,0,attrition_rate,0.03124999999999999,1,True
degraded,delayed,crowd_vector,relay_rich,0,mean_effective_map_delay,-7.773532082324455,-1,True
degraded,delayed,crowd_vector,relay_rich,1,safe_delivery_success,0.25,-1,False
degraded,delayed,crowd_vector,relay_rich,1,degraded_outcome,-0.25,1,False
degraded,delayed,crowd_vector,relay_rich,1,attrition_rate,-0.020833333333333322,1,False
degraded,delayed,crowd_vector,relay_rich,1,mean_effective_map_delay,-8.0,-1,True
degraded,delayed,crowd_vector,relay_rich,2,safe_delivery_success,0.25,-1,False
degraded,delayed,crowd_vector,relay_rich,2,degraded_outcome,-0.375,1,False
degraded,delayed,crowd_vector,relay_rich,2,attrition_rate,-0.03124999999999999,1,False
degraded,delayed,crowd_vector,relay_rich,2,mean_effective_map_delay,-7.986607142857142,-1,True
degraded,delayed,crowd_vector,relay_rich,3,safe_delivery_success,0.125,-1,False
degraded,delayed,crowd_vector,relay_rich,3,degraded_outcome,-0.125,1,False
degraded,delayed,crowd_vector,relay_rich,3,attrition_rate,-0.010416666666666661,1,False
degraded,delayed,crowd_vector,relay_rich,3,mean_effective_map_delay,-7.8954545454545455,-1,True
degraded,delayed,crowd_vector,relay_rich_standardized,0,safe_delivery_success,0.0,-1,False
degraded,delayed,crowd_vector,relay_rich_standardized,0,degraded_outcome,0.25,1,True
degraded,delayed,crowd_vector,relay_rich_standardized,0,attrition_rate,0.020833333333333325,1,True
degraded,delayed,crowd_vector,relay_rich_standardized,0,mean_effective_map_delay,-7.790178571428571,-1,True
degraded,delayed,crowd_vector,relay_rich_standardized,1,safe_delivery_success,0.125,-1,False
degraded,delayed,crowd_vector,relay_rich_standardized,1,degraded_outcome,-0.125,1,False
degraded,delayed,crowd_vector,relay_rich_standardized,1,attrition_rate,0.0,1,False
degraded,delayed,crowd_vector,relay_rich_standardized,1,mean_effective_map_delay,-7.586206896551724,-1,True
degraded,delayed,crowd_vector,relay_rich_standardized,2,safe_delivery_success,-0.25,-1,True
degraded,delayed,crowd_vector,relay_rich_standardized,2,degraded_outcome,0.25,1,True
degraded,delayed,crowd_vector,relay_rich_standardized,2,attrition_rate,0.010416666666666657,1,True
degraded,delayed,crowd_vector,relay_rich_standardized,2,mean_effective_map_delay,-7.545672861621137,-1,True
degraded,delayed,crowd_vector,relay_rich_standardized,3,safe_delivery_success,-0.125,-1,True
degraded,delayed,crowd_vector,relay_rich_standardized,3,degraded_outcome,0.125,1,True
degraded,delayed,crowd_vector,relay_rich_standardized,3,attrition_rate,0.03125,1,True
degraded,delayed,crowd_vector,relay_rich_standardized,3,mean_effective_map_delay,-7.864035087719298,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched,0,safe_delivery_success,0.125,-1,False
degraded,delayed,crowd_vector,relay_rich_scout_matched,0,degraded_outcome,-0.125,1,False
degraded,delayed,crowd_vector,relay_rich_scout_matched,0,attrition_rate,0.010416666666666661,1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched,0,mean_effective_map_delay,-7.8710839598997495,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched,1,safe_delivery_success,0.125,-1,False
degraded,delayed,crowd_vector,relay_rich_scout_matched,1,degraded_outcome,-0.125,1,False
degraded,delayed,crowd_vector,relay_rich_scout_matched,1,attrition_rate,0.010416666666666664,1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched,1,mean_effective_map_delay,-8.0,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched,2,safe_delivery_success,-0.125,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched,2,degraded_outcome,0.0,1,False
degraded,delayed,crowd_vector,relay_rich_scout_matched,2,attrition_rate,0.010416666666666657,1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched,2,mean_effective_map_delay,-7.703007518796992,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched,3,safe_delivery_success,-0.125,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched,3,degraded_outcome,0.125,1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched,3,attrition_rate,0.041666666666666644,1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched,3,mean_effective_map_delay,-7.5093012704174225,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,0,safe_delivery_success,-0.125,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,0,degraded_outcome,0.125,1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,0,attrition_rate,0.020833333333333325,1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,0,mean_effective_map_delay,-7.656746031746032,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,1,safe_delivery_success,-0.125,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,1,degraded_outcome,0.125,1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,1,attrition_rate,0.02083333333333333,1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,1,mean_effective_map_delay,-7.75,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,2,safe_delivery_success,0.0,-1,False
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,2,degraded_outcome,-0.125,1,False
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,2,attrition_rate,0.010416666666666657,1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,2,mean_effective_map_delay,-7.300741076830006,-1,True
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,3,safe_delivery_success,0.125,-1,False
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,3,degraded_outcome,-0.125,1,False
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,3,attrition_rate,-0.010416666666666661,1,False
degraded,delayed,crowd_vector,relay_rich_scout_matched_standardized,3,mean_effective_map_delay,-7.864035087719298,-1,True
degraded,scout_belief,autonomous,relay_rich,0,safe_delivery_success,0.125,-1,False
degraded,scout_belief,autonomous,relay_rich,0,degraded_outcome,-0.125,1,False
degraded,scout_belief,autonomous,relay_rich,0,attrition_rate,-0.010416666666666663,1,False
degraded,scout_belief,autonomous,relay_rich,0,mean_effective_map_delay,-7.883620689655173,-1,True
degraded,scout_belief,autonomous,relay_rich,1,safe_delivery_success,-0.125,-1,True
degraded,scout_belief,autonomous,relay_rich,1,degraded_outcome,0.125,1,True
degraded,scout_belief,autonomous,relay_rich,1,attrition_rate,0.010416666666666664,1,True
degraded,scout_belief,autonomous,relay_rich,1,mean_effective_map_delay,-7.771929824561403,-1,True
