seed,team,map_mode,command_mode,stress,stress_family,mission_profile,policy,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,fragmentation_mean,max_fragmentation,lambda2_ctrl_mean,lambda2_ctrl_min,lambda2_ctrl_final,lambda2_post_mean,lambda2_per_alive_mean,lambda2_ctrl_n_steps,eigengap_mean,eigengap_min,eigengap_p01,lambda2_low_population_steps,lambda2_degenerate_steps,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
1034174157,balanced_hetero,delayed,autonomous,degraded,degraded,full_delivery,s1_lambda2,1,57,46,1,57,11,11,2.0,2,0.0833333333333333,0.0833333333333333,110.11882733113774,0.1653435845812879,0.122354252590153,14,0.0,0.0,0.0,9.184029912322398,6.3588207372791175,9.723736691267826,9.184029912322398,0.7961751001592922,58,0.7417420206968224,0.2676842121992813,0.2698604992286232,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001305820075195,0.0,0.0,8.0,181,0,12.0,0.9166666666666666,0.9166666666666666,1.0,0.6833333333333333,0.24843825190323687,0.30000000000000004,73.91146885997864,0,1
1034175166,balanced_hetero,delayed,autonomous,degraded,degraded,full_delivery,s1_lambda2,1,57,46,1,57,10,9,2.0,1,0.1666666666666666,0.1666666666666666,96.76668809570116,0.1514345666599392,0.1075185423285568,12,0.0,0.0,0.0,8.759283015679998,5.553206753789347,8.315101986951074,8.759283015679998,0.7876195554077876,58,0.6891811284807858,0.1532039238439324,0.1626223635170803,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000365068993242,0.0,0.0,8.862068965517242,181,0,12.0,0.75,0.8333333333333334,0.5,0.6833333333333333,0.31166106063664,0.4,61.2965881822463,0,1
1034176175,balanced_hetero,delayed,autonomous,degraded,degraded,full_delivery,s1_lambda2,1,55,47,1,55,11,10,2.0,1,0.0833333333333333,0.0833333333333333,106.65443379236842,0.1663875722189835,0.1185049264359649,14,0.0,0.0,0.0,9.434257850181144,6.596838153497789,8.886278819301943,9.417625554536604,0.8201318324006256,56,0.7122166695504042,0.0359532195615859,0.0544318042119837,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011667204402815,0.0,0.0,8.0,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.6944444444444444,0.24369285355007497,0.30000000000000004,63.02281106081217,0,1
1034177184,balanced_hetero,delayed,autonomous,degraded,degraded,full_delivery,s1_lambda2,1,57,46,1,57,11,10,2.0,1,0.0833333333333333,0.0833333333333333,77.57078442824395,0.1171764115230271,0.0861897604758266,9,0.0,0.0,0.0,8.918055406442438,5.859655291630276,9.311416958909597,8.918055406442438,0.7780394526302593,58,0.7603324227329403,0.0790616298576836,0.112079197462733,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006187042784803,0.0,0.0,8.0,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.6833333333333333,0.46737994762260404,0.55,68.47665260004979,1,1
1034178193,balanced_hetero,delayed,autonomous,degraded,degraded,full_delivery,s1_lambda2,1,58,45,1,58,11,11,2.0,2,0.0833333333333333,0.0833333333333333,90.31307280648004,0.1372539100402432,0.1003478586738667,12,0.0,0.0,0.0,8.7366991646833,6.31828254150912,9.805352771938596,8.72288962308349,0.7804216860007851,59,0.6971879778603517,0.0587676182328351,0.0920057171000657,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003178578205616,0.0,0.0,8.0,181,0,12.0,0.9166666666666666,0.9166666666666666,1.0,0.6777777777777778,0.37611859072616727,0.4,76.61010471461078,0,1
1034179202,balanced_hetero,delayed,autonomous,degraded,degraded,full_delivery,s1_lambda2,1,53,45,1,53,11,10,2.0,1,0.0833333333333333,0.0833333333333333,77.78476063256305,0.1256619719427513,0.0864275118139589,9,0.0,0.0,0.0,8.802862428812487,5.92002632506143,7.635396992111682,8.785820904187892,0.7641792836765617,54,1.0706363315506475,0.202201286849684,0.2091863761045219,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008749724327969,0.0,0.0,9.037037037037036,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.7055555555555555,0.42880921844203956,0.55,68.29221794707745,1,1
1034180211,balanced_hetero,delayed,autonomous,degraded,degraded,full_delivery,s1_lambda2,1,58,46,1,58,12,11,2.0,1,0.0,0.0,114.99109847147622,0.1624168057506726,0.1277678871905291,14,0.0,0.0,0.0,9.671557503140503,6.768558698748809,10.247643557443382,9.671557503140503,0.8059631252617087,59,0.6512764291175477,0.0574978214918608,0.0728321689395075,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016324566768836,0.0,0.0,8.0,181,0,12.0,0.9166666666666666,1.0,0.5,0.6777777777777778,0.2617417920423972,0.30000000000000004,66.508829533038,0,1
1034181220,balanced_hetero,delayed,autonomous,degraded,degraded,full_delivery,s1_lambda2,1,55,45,1,55,11,11,2.0,1,0.0833333333333333,0.0833333333333333,74.91008635651535,0.1116394729605295,0.083233429285017,8,0.0,0.0,0.0,9.385644498165233,6.685230995472261,9.864705096106782,9.371459663201112,0.7821370415137692,56,0.8661321920724833,0.1626237524163176,0.1893798191291053,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006030301670566,0.0,0.0,8.0,181,0,12.0,0.9166666666666666,0.9166666666666666,0.5,0.6944444444444444,0.4925478501794114,0.6,71.50678101362287,1,1
1034182229,balanced_hetero,delayed,autonomous,degraded,degraded,full_delivery,s1_lambda2,1,57,45,1,57,11,10,2.0,1,0.0833333333333333,0.0833333333333333,87.70146052110356,0.1330826411549371,0.0974460672456706,0,0.0,0.0,0.0,7.896109150468993,3.9777244286983513,9.428040274202282,7.881642588182233,0.688202040348913,58,0.94085862627656,0.0564811348442937,0.0912474687681214,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012137292581675,0.0,0.0,8.0,181,0,12.0,0.8333333333333334,0.9166666666666666,0.5,0.6833333333333333,0.39507890384119504,1.0,71.96443798711006,1,0
1034183238,balanced_hetero,delayed,autonomous,degraded,degraded,full_delivery,s1_lambda2,1,56,45,1,56,12,11,2.0,1,0.0,0.0,90.95872047138872,0.1329805854844864,0.1010652449682096,0,0.0,0.0,0.0,8.314335331805548,4.299294389782085,10.501443964522402,8.314335331805548,0.6928612776504623,57,1.054518511394584,0.0308407712966189,0.0438171164494877,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011304467162811,0.0,0.0,8.0,181,0,12.0,0.9166666666666666,1.0,0.5,0.6888888888888889,0.39554279325233455,1.0,75.5598213277549,1,0
