seed,team,map_mode,command_mode,stress,stress_family,mission_profile,mission_success,success_time,first_threshold_time,strict_success,strict_success_time,alive_final,reached_final,n_payload,payload_reached,attrition_rate,early_attrition_rate,cumulative_exposure,exposure_per_agent_step,early_exposure_per_agent_step,recovery_time,mean_fragmentation,max_fragmentation,mean_consensus,mean_dispersion,mean_polarization,command_reversal_rate,early_mean_consensus,early_mean_dispersion,early_reversal_rate,early_map_mse,false_safe_rate,false_danger_rate,mean_effective_map_delay,collapse_time,failure_label,stress_base,variant,noise_scale,loss_scale,dropout_scale,delay_scale,max_steps,safe_exposure_cut,safe_exposure_scale,n_agents,reached_fraction,alive_fraction,payload_fraction,time_efficiency,exposure_safety,recovery_safety,operational_score,safe_delivery_success,degraded_outcome
1784642774,no_relay_hetero,delayed,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,59,45,1,59,11,10,2,1,0.08333333333333333,0.08333333333333333,84.31401331375369,0.12417380458579336,0.09368223701528187,9,0.0,0.0,0.6333333333333333,0.05009208601923377,0.250859389993492,0.0,0.6333333333333333,0.05009208601923377,0.0,0.0008324199944394838,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.8333333333333334,0.9166666666666666,0.5,0.6722222222222223,0.4355736155191211,0.55,67.85358617282326,0,1
3057480582,no_relay_hetero,delayed,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,56,45,1,56,10,9,2,1,0.16666666666666666,0.16666666666666666,65.17835665213252,0.10917647680424208,0.07242039628014725,8,0.0,0.0,0.6042884990253411,0.05735754494029895,0.2589251259269473,0.0,0.6042884990253411,0.05735754494029895,0.0,0.0003877525762581659,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.75,0.8333333333333334,0.5,0.6888888888888889,0.5037432872534451,0.6,66.07462824377046,0,1
1920766504,no_relay_hetero,delayed,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,56,44,1,56,12,11,2,1,0.0,0.0,73.8472648726311,0.1079638375330864,0.08205251652514567,0,0.0,0.0,0.6432748538011696,0.05129441496973433,0.2413677334417283,0.0,0.6432748538011696,0.05129441496973433,0.0,0.0006465666362310133,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6888888888888889,0.5092552839405163,1.0,77.15179619738944,1,0
3910874932,no_relay_hetero,delayed,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,54,44,1,54,12,11,2,1,0.0,0.0,62.55165708842659,0.09477523801276756,0.06950184120936287,0,0.0,0.0,0.6343434343434343,0.05292697606773464,0.23902338611898502,0.0,0.6343434343434343,0.05292697606773464,0.0,0.0006589179622980598,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.7,0.5692034635783292,1.0,78.1688484900966,1,0
1297123264,no_relay_hetero,delayed,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,56,44,1,56,11,10,2,1,0.08333333333333333,0.08333333333333333,82.41627254039717,0.12698963411463354,0.09157363615599685,0,0.0,0.0,0.6471734892787523,0.05242030726804455,0.24267163090821872,0.0,0.6471734892787523,0.05242030726804455,0.0,0.0023577440232335285,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.8333333333333334,0.9166666666666666,0.5,0.6888888888888889,0.42277439038802933,1.0,72.44106368765463,0,1
617829455,no_relay_hetero,delayed,crowd_vector,degraded_robust_00,degraded_robust_00,full_delivery,1,57,43,1,57,12,11,2,1,0.0,0.0,65.83728945994068,0.09459380669531707,0.07315254384437853,0,0.0,0.0,0.6417624521072796,0.049838317866288284,0.24291241433044036,0.0,0.6417624521072796,0.049838317866288284,0.0,0.00033488766678172366,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6833333333333333,0.5700281513849224,1.0,77.91372745272224,1,0
3100961433,no_relay_hetero,scout_belief,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,54,45,1,54,12,11,2,1,0.0,0.0,68.61694491963941,0.10396506806005971,0.07624104991071046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002906743200742318,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.7,0.5274315088179105,1.0,77.58404112345073,1,0
4237227714,no_relay_hetero,scout_belief,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,53,44,1,53,11,10,2,1,0.08333333333333333,0.08333333333333333,68.59830806608154,0.11172362877211978,0.07622034229564616,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022470857372693756,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.8333333333333334,0.9166666666666666,0.5,0.7055555555555555,0.49216532376309197,0.55,69.17920342157218,0,1
2568260491,no_relay_hetero,scout_belief,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,56,44,1,56,11,12,2,2,0.08333333333333333,0.08333333333333333,63.88472267974508,0.09367261389991947,0.07098302519971676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025922135602769827,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,1.0,0.9166666666666666,1.0,0.6888888888888889,0.5742153913640025,1.0,87.56123770131825,0,1
592941422,no_relay_hetero,scout_belief,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,58,45,1,58,11,11,2,1,0.08333333333333333,0.08333333333333333,93.41376202745913,0.13717145672167272,0.10379306891939903,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036908582738827632,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,0.9166666666666666,0.5,0.6777777777777778,0.37649337853785125,0.44999999999999996,68.11535174397436,0,1
2968656740,no_relay_hetero,scout_belief,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,55,44,1,55,12,11,2,1,0.0,0.0,87.37866666201134,0.1300277777708502,0.09708740740223483,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037906503088984966,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.9166666666666666,1.0,0.5,0.6944444444444444,0.4089646464961355,1.0,75.836616162057,1,0
313774939,no_relay_hetero,scout_belief,autonomous,degraded_robust_00,degraded_robust_00,full_delivery,1,56,45,1,56,11,10,2,1,0.08333333333333333,0.08333333333333333,86.35509263162164,0.13224363343280496,0.09595010292402405,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002240826432826201,0.0,0.0,12.0,181,0,degraded,degraded_robust_00,1.0,1.0,1.0,1.0,180,0.15,0.22,12,0.8333333333333334,0.9166666666666666,0.5,0.6888888888888889,0.398892575305432,0.44999999999999996,66.60671827649828,0,1
