variant,stress_base,contrast,metric,delta,ci95_low,ci95_high,expected_direction
degraded_robust_06,degraded,crowd_minus_auto,safe_delivery_success,0.1875,-0.0625,0.40625,positive
degraded_robust_06,degraded,relay_rich_minus_no_relay,safe_delivery_success,-0.1875,-0.40625,0.0625,negative
degraded_robust_06,degraded,crowd_minus_auto,operational_score,4.192660968822878,1.5403190536529514,6.6645306372945115,positive
degraded_robust_06,degraded,relay_rich_minus_no_relay,operational_score,-2.2337705644360426,-5.17778992028011,0.6134776272882938,negative
degraded_robust_06,degraded,crowd_minus_auto,degraded_outcome,-0.1875,-0.4375,0.03125,negative
degraded_robust_06,degraded,relay_rich_minus_no_relay,degraded_outcome,0.1875,-0.03125,0.40625,positive
degraded_robust_06,degraded,crowd_minus_auto,attrition_rate,-0.0078125,-0.0365234375,0.023437499999999997,negative
degraded_robust_06,degraded,relay_rich_minus_no_relay,attrition_rate,0.03385416666666667,0.0026041666666666713,0.06510416666666666,positive
degraded_robust_07,degraded,crowd_minus_auto,safe_delivery_success,0.28125,0.0625,0.5,positive
degraded_robust_07,degraded,relay_rich_minus_no_relay,safe_delivery_success,0.03125,-0.21875,0.28125,negative
degraded_robust_07,degraded,crowd_minus_auto,operational_score,5.7609075588671885,2.30442029036564,9.067153115866216,positive
degraded_robust_07,degraded,relay_rich_minus_no_relay,operational_score,-0.772676012942938,-4.345120006732352,2.8539512090020405,negative
degraded_robust_07,degraded,crowd_minus_auto,degraded_outcome,-0.25,-0.46875,0.0,negative
degraded_robust_07,degraded,relay_rich_minus_no_relay,degraded_outcome,-0.125,-0.34375,0.125,positive
degraded_robust_07,degraded,crowd_minus_auto,attrition_rate,-0.007812499999999993,-0.046875000000000014,0.026041666666666664,negative
degraded_robust_07,degraded,relay_rich_minus_no_relay,attrition_rate,-0.0078125,-0.0390625,0.028645833333333343,positive
degraded_robust_08,degraded,crowd_minus_auto,safe_delivery_success,0.1875,-0.0625,0.4375,positive
degraded_robust_08,degraded,relay_rich_minus_no_relay,safe_delivery_success,-0.1875,-0.4375,0.0625,negative
degraded_robust_08,degraded,crowd_minus_auto,operational_score,3.7342375016363434,0.9524619356706524,6.450253954882582,positive
