team,map_mode,command_mode,stress,n,success_rate,strict_success_rate,safe_delivery_rate,mean_operational_score,degraded_rate,mean_reached_fraction,mean_payload_fraction,mean_exposure,mean_attrition,mean_early_attrition,mean_recovery,mean_fragmentation,mean_false_safe,mean_map_mse,mean_effective_map_delay,mean_consensus,mean_dispersion,reversal_rate,success_ci_low,success_ci_high,strict_success_ci_low,strict_success_ci_high,safe_delivery_ci_low,safe_delivery_ci_high,operational_score_ci_low,operational_score_ci_high
balanced_hetero,delayed,autonomous,degraded,40,1.0,1.0,0.575,70.64653092078598,0.85,0.8666666666666666,0.5875,0.13360848235590303,0.06041666666666665,0.06041666666666665,8.375,0.0,0.0,0.00082362345035483,8.110303320561941,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.425,0.725,69.01738710442206,72.34423818013353
balanced_hetero,delayed,autonomous,severe,40,1.0,1.0,0.6,71.81265423192028,0.875,0.8729166666666666,0.6,0.12679876683172892,0.06249999999999998,0.06249999999999998,7.5,0.0,0.0,0.0028858272601323147,16.46429442782345,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.45,0.75,69.8953428175617,73.79477447266984
balanced_hetero,delayed,consensus_gated,degraded,40,1.0,1.0,0.7,76.23799307156045,0.35,0.9,0.5375,0.11344939458976411,0.02708333333333333,0.02708333333333333,0.7,0.0,0.0,0.0007477869274763276,8.116779556650247,0.6432626893376223,0.05203864665729337,0.0,1.0,1.0,1.0,1.0,0.55,0.825,74.97991669874384,77.50078417457509
balanced_hetero,delayed,consensus_gated,severe,40,1.0,1.0,0.425,75.88873104258936,0.6,0.8791666666666667,0.575,0.11401835345772278,0.0625,0.0625,0.45,0.0001984126984126984,0.0,0.0035077332883148562,16.455215636921857,0.5478399817197919,0.08399626049967779,0.0,1.0,1.0,1.0,1.0,0.275,0.575,74.11063845073488,77.8014521683303
balanced_hetero,delayed,crowd_vector,degraded,40,1.0,1.0,0.55,77.14317887079044,0.55,0.8979166666666666,0.6125,0.11730957012567403,0.04791666666666666,0.04791666666666666,0.275,0.00030303030303030303,0.0,0.0008594781648919246,8.161339428115744,0.640273504846277,0.052205595264500484,0.0,1.0,1.0,1.0,1.0,0.4,0.725,75.44239395041099,78.8747171993467
balanced_hetero,delayed,crowd_vector,severe,40,1.0,1.0,0.35,75.83854762937787,0.7,0.8666666666666666,0.625,0.11417837852247477,0.08333333333333333,0.08333333333333333,0.9,0.00034523809523809523,0.0,0.0034019894745424967,16.65556442944405,0.5542281122634533,0.08198821870166574,0.0,1.0,1.0,1.0,1.0,0.2,0.5,74.31032213311927,77.58192457799113
balanced_hetero,delayed,stale_hold,degraded,40,1.0,1.0,0.475,76.86887918290276,0.55,0.8833333333333334,0.6125,0.11270213664962334,0.05833333333333333,0.05833333333333333,0.375,0.0001785714285714286,0.0,0.0007680775483282674,8.28661478779673,0.6441517676975294,0.05082905319965142,0.0,1.0,1.0,1.0,1.0,0.324375,0.625,75.25986180547314,78.34294147437195
balanced_hetero,delayed,stale_hold,severe,40,1.0,1.0,0.35,75.92802428035345,0.675,0.88125,0.625,0.11849493591190603,0.07708333333333332,0.07708333333333332,1.15,0.0007638888888888888,0.0,0.00339194290816979,16.76725695208746,0.5557068855269162,0.08175618833868188,0.0,1.0,1.0,1.0,1.0,0.2,0.5,74.023196911433,77.8435490505504
balanced_hetero,no_shared,autonomous,degraded,40,1.0,1.0,0.475,76.78208148124298,0.675,0.88125,0.6,0.11345498942173723,0.05625,0.05625,0.0,0.0,0.07099087465564738,0.03181254254803227,8.211784970088056,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.325,0.625,75.23442840345116,78.43440458760656
balanced_hetero,no_shared,autonomous,severe,40,1.0,1.0,0.4,75.9366211667167,0.675,0.8729166666666666,0.625,0.11835111182461051,0.07291666666666666,0.07291666666666666,0.95,0.00016233766233766234,0.07493677303336395,0.0328478212950668,16.50619649138837,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.55,73.80414605316454,78.03913092060685
balanced_hetero,no_shared,consensus_gated,degraded,40,1.0,1.0,0.55,75.80748352364253,0.5,0.8729166666666666,0.55,0.10895263986656975,0.04583333333333333,0.04583333333333333,0.675,0.0,0.06785009182736455,0.030928598661845365,8.168762183235867,0.630245904065073,0.05138536940350067,0.0,1.0,1.0,1.0,1.0,0.375,0.7,74.2976689228835,77.30096886370659
balanced_hetero,no_shared,consensus_gated,severe,40,1.0,1.0,0.325,76.65114212352213,0.725,0.8791666666666667,0.6375,0.11448681424941387,0.07916666666666666,0.07916666666666666,0.4,0.00030303030303030303,0.07161845730027548,0.03239912485952428,16.64820599463698,0.5400097246167566,0.08146143889758711,0.0,1.0,1.0,1.0,1.0,0.2,0.475,74.7830039636925,78.5422552957406
balanced_hetero,no_shared,crowd_vector,degraded,40,1.0,1.0,0.575,77.09248201016733,0.55,0.9020833333333333,0.5875,0.11851218745927519,0.035416666666666666,0.035416666666666666,0.0,0.0001785714285714286,0.07375459136822773,0.03285282471559185,8.125007974481658,0.628554187851564,0.05144863982265936,0.0,1.0,1.0,1.0,1.0,0.425,0.725,76.00683422343371,78.29843055262323
balanced_hetero,no_shared,crowd_vector,severe,40,1.0,1.0,0.35,76.891384353513,0.725,0.8791666666666667,0.625,0.11122665857177969,0.07291666666666666,0.07291666666666666,0.225,0.0,0.0732122359963269,0.03097924671366814,16.79194662144176,0.5409116455742561,0.08088336217383027,0.0,1.0,1.0,1.0,1.0,0.225,0.5,75.20417740920453,78.59519734383512
balanced_hetero,no_shared,stale_hold,degraded,40,1.0,1.0,0.625,76.7964945299432,0.425,0.9,0.55,0.11074476849771768,0.03333333333333333,0.03333333333333333,0.25,0.00016233766233766234,0.07013257575757575,0.03137191085180522,8.078750756200847,0.6264555418260864,0.05173728980064348,0.0,1.0,1.0,1.0,1.0,0.475,0.775,75.55509818549771,78.10413412305464
balanced_hetero,no_shared,stale_hold,severe,40,1.0,1.0,0.325,75.61188909218843,0.725,0.8791666666666667,0.575,0.11865682220211823,0.06666666666666667,0.06666666666666667,0.25,0.00016233766233766234,0.07406910009182736,0.03203984654665571,16.306205168092646,0.5446637918556593,0.0809281068635379,0.0,1.0,1.0,1.0,1.0,0.175,0.475,73.90107237779624,77.4483676614962
balanced_hetero,scout_belief,autonomous,degraded,40,0.975,0.975,0.625,75.30782305403383,0.5,0.9041666666666666,0.5875,0.12151873296042077,0.03958333333333333,0.0375,2.55,0.0,0.0,0.00281268848141969,8.140740284619595,0.0,0.0,0.0,0.925,1.0,0.9,1.0,0.475,0.775,73.54056464939009,77.10669687862682
balanced_hetero,scout_belief,autonomous,severe,40,1.0,1.0,0.4,74.4902825109267,0.675,0.8833333333333334,0.6375,0.12265865578067565,0.06875,0.06875,4.35,0.0,0.0,0.0032127408215409784,16.26575274392879,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.25,0.55,71.79846279309254,77.18962773208975
balanced_hetero,scout_belief,consensus_gated,degraded,40,1.0,1.0,0.625,76.89290701542336,0.65,0.9020833333333333,0.6,0.11689915959890265,0.03958333333333333,0.03958333333333333,0.9,0.0,0.0,0.0033948073093870933,8.119014221702708,0.6484017078983431,0.052173403294163714,0.0,1.0,1.0,1.0,1.0,0.45,0.775,75.55424630585293,78.2876132274142
balanced_hetero,scout_belief,consensus_gated,severe,40,1.0,1.0,0.3,75.73245169225736,0.75,0.8791666666666667,0.575,0.11466266388357471,0.06458333333333333,0.06458333333333333,0.65,0.0,0.0005208333333333333,0.0035529616500703408,16.764410902062554,0.5577972947677718,0.08322097241765328,0.0,1.0,1.0,1.0,1.0,0.175,0.425,74.26038228173607,77.3620824305669
balanced_hetero,scout_belief,crowd_vector,degraded,40,1.0,1.0,0.675,76.50690323788601,0.375,0.89375,0.55,0.11258913959512462,0.035416666666666666,0.035416666666666666,0.175,0.00015151515151515152,0.0,0.003478811825620967,8.186269553193329,0.6468721554009804,0.053119379972646055,0.0,1.0,1.0,1.0,1.0,0.525,0.825,75.2168692422321,77.89990530990008
balanced_hetero,scout_belief,crowd_vector,severe,40,1.0,1.0,0.375,75.02885579791302,0.75,0.8604166666666666,0.6125,0.11908861523914449,0.08125,0.08125,1.375,0.00018518518518518518,0.0010185185185185184,0.0041118111162476885,16.4818791219854,0.5574142647974761,0.08308664104303007,0.0,1.0,1.0,1.0,1.0,0.225,0.5,73.06620784329168,76.93802558047379
balanced_hetero,scout_belief,stale_hold,degraded,40,1.0,1.0,0.55,75.55388124603455,0.6,0.88125,0.55,0.1151072629591396,0.04791666666666666,0.04791666666666666,0.675,0.0,0.0,0.003788094302701432,8.158197217180883,0.6441470350631958,0.0527964199978343,0.0,1.0,1.0,1.0,1.0,0.375,0.7,74.13491167963808,77.24929277691719
balanced_hetero,scout_belief,stale_hold,severe,40,1.0,1.0,0.25,75.17926813032226,0.775,0.8708333333333333,0.575,0.11512737382509457,0.07708333333333332,0.07708333333333332,0.825,0.0,0.0009343434343434343,0.004100485638245123,16.493851344063362,0.5579222772818473,0.08323979338408291,0.0,1.0,1.0,1.0,1.0,0.125,0.375,73.58854791256648,76.60788168815188
relay_mid,delayed,autonomous,degraded,40,1.0,1.0,0.6,72.70522324452028,0.8,0.9041666666666666,0.575,0.12869212679245917,0.020833333333333325,0.020833333333333325,7.725,0.0,0.0,0.00039483183336211657,6.1040640394088665,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.425,0.75,70.85666293912463,74.4184170879538
relay_mid,delayed,autonomous,severe,40,1.0,1.0,0.55,73.38892922050815,0.875,0.8854166666666666,0.675,0.12428627097931651,0.07291666666666664,0.07291666666666664,7.65,0.0,0.0,0.0015823040463056226,12.719401206778702,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4,0.7,71.62531277863302,75.18396688996344
