level,k,team,stress,command_mode,metric,n_pairs,n_cells,mean_diff,ci_low,ci_high,improvement_rate,positive_diff_rate,boot_frac_positive,boot_frac_improvement
stress_k,1,relay_sparse,degraded,ALL,safe_delivery_success,480,12,0.004166666666666667,-0.008333333333333333,0.016666666666666666,0.014583333333333334,0.014583333333333334,0.702,0.702
stress_k,1,relay_sparse,degraded,ALL,attrition_rate,480,12,0.0008680555555555553,0.0,0.0019097222222222215,0.0020833333333333333,0.010416666666666666,0.964,0.017
stress_k,1,relay_sparse,degraded,ALL,mean_effective_map_delay,480,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stress_k,1,relay_sparse,degraded,ALL,operational_score,480,12,-0.1062303186695593,-0.26344196773931344,0.060995569627283565,0.4979166666666667,0.4979166666666667,0.106,0.106
stress_k,2,balanced_hetero,degraded,ALL,safe_delivery_success,480,12,0.025,0.010416666666666666,0.03958333333333334,0.03125,0.03125,0.9995,0.9995
stress_k,2,balanced_hetero,degraded,ALL,attrition_rate,480,12,-2.8912057932946785e-20,-0.0008680555555555551,0.0010416666666666662,0.00625,0.004166666666666667,0.442,0.454
stress_k,2,balanced_hetero,degraded,ALL,mean_effective_map_delay,480,12,-0.0021628694581280806,-0.00920309934318555,0.0038793103448275836,0.004166666666666667,0.0020833333333333333,0.2325,0.7185
stress_k,2,balanced_hetero,degraded,ALL,operational_score,480,12,0.07327989787113727,-0.09031790504880582,0.22905648516501684,0.46875,0.46875,0.7935,0.7935
stress_k,3,relay_mid,degraded,ALL,safe_delivery_success,480,12,0.00625,-0.006250000000000001,0.018750000000000003,0.014583333333333334,0.014583333333333334,0.821,0.821
stress_k,3,relay_mid,degraded,ALL,attrition_rate,480,12,-0.0006944444444444441,-0.0017361111111111104,0.00017361111111111104,0.008333333333333333,0.0020833333333333333,0.036,0.919
stress_k,3,relay_mid,degraded,ALL,mean_effective_map_delay,480,12,-0.003625659793422953,-0.00901238358680793,-4.177109440267427e-05,0.010416666666666666,0.0,0.0,0.9955
stress_k,3,relay_mid,degraded,ALL,operational_score,480,12,0.030862406700477817,-0.11617397013533354,0.17193313925817083,0.4708333333333333,0.4708333333333333,0.6625,0.6625
stress_k,4,relay_rich,degraded,ALL,safe_delivery_success,480,12,0.010416666666666666,-0.008333333333333333,0.02916666666666667,0.029166666666666667,0.029166666666666667,0.8465,0.8465
stress_k,4,relay_rich,degraded,ALL,attrition_rate,480,12,-0.0010416666666666667,-0.0022612847222222223,0.0,0.010416666666666666,0.0020833333333333333,0.0175,0.9605
