stress,exposure_cut,recovery_cut,point_means_by_k,selection_frequency_by_k,weight_k_le_1,weight_k_ge_2,weight_k_ge_3,weight_k2
severe,0.18,6,"[0.339583, 0.389583, 0.34375, 0.285417, 0.26875]","[0.0417, 0.8984, 0.0599, 0.0, 0.0]",0.9401,0.0599,0.0,0.0599
degraded,0.18,8,"[0.541667, 0.564583, 0.545833, 0.483333, 0.464583]","[0.1707, 0.6294, 0.1994, 0.0005, 0.0]",0.8001,0.1999,0.0005,0.1994
severe,0.18,8,"[0.35625, 0.408333, 0.366667, 0.289583, 0.283333]","[0.0312, 0.8822, 0.0865, 0.0, 0.0]",0.9135,0.0865,0.0,0.0865
degraded,0.18,10,"[0.61875, 0.597917, 0.5625, 0.533333, 0.522917]","[0.7314, 0.2487, 0.0189, 0.001, 0.0]",0.9801,0.0199,0.001,0.0189
severe,0.18,10,"[0.45, 0.45625, 0.375, 0.33125, 0.314583]","[0.419, 0.5787, 0.0022, 0.0, 0.0]",0.9977,0.0022,0.0,0.0022
degraded,0.18,12,"[0.6375, 0.60625, 0.575, 0.566667, 0.535417]","[0.813, 0.1698, 0.0118, 0.005, 0.0005]",0.9828,0.0173,0.0055,0.0118
severe,0.18,12,"[0.46875, 0.4625, 0.38125, 0.35625, 0.325]","[0.585, 0.415, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
degraded,0.18,14,"[0.65625, 0.633333, 0.583333, 0.58125, 0.545833]","[0.7658, 0.2303, 0.0027, 0.0013, 0.0]",0.996,0.004,0.0013,0.0027
severe,0.18,14,"[0.472917, 0.4625, 0.383333, 0.360417, 0.327083]","[0.627, 0.373, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
degraded,0.18,16,"[0.65625, 0.633333, 0.583333, 0.583333, 0.545833]","[0.7822, 0.2122, 0.0022, 0.0035, 0.0]",0.9943,0.0057,0.0035,0.0022
severe,0.18,16,"[0.472917, 0.4625, 0.383333, 0.364583, 0.327083]","[0.632, 0.3675, 0.0005, 0.0, 0.0]",0.9995,0.0005,0.0,0.0005
degraded,0.2,4,"[0.49375, 0.53125, 0.535417, 0.470833, 0.45]","[0.0341, 0.45, 0.512, 0.0039, 0.0]",0.4841,0.5159,0.0039,0.512
severe,0.2,4,"[0.339583, 0.389583, 0.34375, 0.285417, 0.26875]","[0.0457, 0.8915, 0.0628, 0.0, 0.0]",0.9372,0.0628,0.0,0.0628
degraded,0.2,6,"[0.495833, 0.53125, 0.535417, 0.470833, 0.45]","[0.0422, 0.4223, 0.5308, 0.0047, 0.0]",0.4645,0.5355,0.0047,0.5308
severe,0.2,6,"[0.339583, 0.389583, 0.34375, 0.285417, 0.26875]","[0.0375, 0.9095, 0.053, 0.0, 0.0]",0.947,0.053,0.0,0.053
degraded,0.2,8,"[0.541667, 0.564583, 0.545833, 0.483333, 0.464583]","[0.1499, 0.6314, 0.2187, 0.0, 0.0]",0.7813,0.2187,0.0,0.2187
severe,0.2,8,"[0.35625, 0.408333, 0.366667, 0.289583, 0.283333]","[0.0345, 0.8755, 0.09, 0.0, 0.0]",0.91,0.09,0.0,0.09
degraded,0.2,10,"[0.61875, 0.597917, 0.5625, 0.533333, 0.522917]","[0.7372, 0.2387, 0.024, 0.0, 0.0]",0.976,0.024,0.0,0.024
severe,0.2,10,"[0.45, 0.45625, 0.375, 0.33125, 0.314583]","[0.4368, 0.5627, 0.0005, 0.0, 0.0]",0.9995,0.0005,0.0,0.0005
degraded,0.2,12,"[0.6375, 0.60625, 0.575, 0.566667, 0.535417]","[0.8343, 0.1455, 0.0145, 0.0057, 0.0]",0.9798,0.0203,0.0057,0.0145
severe,0.2,12,"[0.46875, 0.4625, 0.38125, 0.35625, 0.325]","[0.5903, 0.4093, 0.0005, 0.0, 0.0]",0.9995,0.0005,0.0,0.0005
degraded,0.2,14,"[0.65625, 0.633333, 0.583333, 0.58125, 0.545833]","[0.773, 0.222, 0.0035, 0.0015, 0.0]",0.995,0.005,0.0015,0.0035
severe,0.2,14,"[0.472917, 0.4625, 0.383333, 0.360417, 0.327083]","[0.6348, 0.3648, 0.0005, 0.0, 0.0]",0.9995,0.0005,0.0,0.0005
degraded,0.2,16,"[0.65625, 0.633333, 0.583333, 0.583333, 0.545833]","[0.7662, 0.2298, 0.003, 0.001, 0.0]",0.996,0.004,0.001,0.003
severe,0.2,16,"[0.472917, 0.4625, 0.383333, 0.364583, 0.327083]","[0.6305, 0.3695, 0.0, 0.0, 0.0]",1.0,0.0,0.0,0.0
degraded,0.22,4,"[0.49375, 0.53125, 0.535417, 0.470833, 0.45]","[0.0314, 0.4439, 0.5214, 0.0032, 0.0]",0.4753,0.5247,0.0032,0.5214
severe,0.22,4,"[0.339583, 0.389583, 0.34375, 0.285417, 0.26875]","[0.0367, 0.9084, 0.0549, 0.0, 0.0]",0.9451,0.0549,0.0,0.0549
degraded,0.22,6,"[0.495833, 0.53125, 0.535417, 0.470833, 0.45]","[0.0332, 0.4259, 0.5387, 0.0022, 0.0]",0.4591,0.5409,0.0022,0.5387
